UID          PID    PPID  C STIME TTY          TIME CMD
root           2       0  0 08:11 ?        00:00:00 [kthreadd]
root           3       2  0 08:11 ?        00:00:00   [pool_workqueue_release]
root           4       2  0 08:11 ?        00:00:00   [kworker/R-rcu_gp]
root           5       2  0 08:11 ?        00:00:00   [kworker/R-sync_wq]
root           6       2  0 08:11 ?        00:00:00   [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 08:11 ?        00:00:00   [kworker/R-slub_flushwq]
root           8       2  0 08:11 ?        00:00:00   [kworker/R-netns]
root          10       2  0 08:11 ?        00:00:00   [kworker/0:0H-kblockd]
root          13       2  0 08:11 ?        00:00:00   [kworker/R-mm_percpu_wq]
root          14       2  0 08:11 ?        00:00:00   [ksoftirqd/0]
root          15       2  0 08:11 ?        00:00:07   [rcu_preempt]
root          16       2  0 08:11 ?        00:00:00   [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 08:11 ?        00:00:00   [rcu_exp_gp_kthread_worker]
root          18       2  0 08:11 ?        00:00:00   [migration/0]
root          19       2  0 08:11 ?        00:00:00   [kprobe-optimizer]
root          20       2  0 08:11 ?        00:00:00   [idle_inject/0]
root          21       2  0 08:11 ?        00:00:00   [cpuhp/0]
root          22       2  0 08:11 ?        00:00:00   [cpuhp/1]
root          23       2  0 08:11 ?        00:00:00   [idle_inject/1]
root          24       2  0 08:11 ?        00:00:00   [migration/1]
root          25       2  0 08:11 ?        00:00:00   [ksoftirqd/1]
root          27       2  0 08:11 ?        00:00:00   [kworker/1:0H-kblockd]
root          28       2  0 08:11 ?        00:00:00   [cpuhp/2]
root          29       2  0 08:11 ?        00:00:00   [idle_inject/2]
root          30       2  0 08:11 ?        00:00:00   [migration/2]
root          31       2  0 08:11 ?        00:00:01   [ksoftirqd/2]
root          33       2  0 08:11 ?        00:00:00   [kworker/2:0H-kblockd]
root          34       2  0 08:11 ?        00:00:00   [kdevtmpfs]
root          35       2  0 08:11 ?        00:00:00   [kworker/R-inet_frag_wq]
root          36       2  0 08:11 ?        00:00:00   [rcu_tasks_kthread]
root          37       2  0 08:11 ?        00:00:00   [rcu_tasks_rude_kthread]
root          38       2  0 08:11 ?        00:00:00   [kauditd]
root          39       2  0 08:11 ?        00:00:00   [khungtaskd]
root          40       2  0 08:11 ?        00:00:00   [oom_reaper]
root          42       2  0 08:11 ?        00:00:00   [kworker/R-writeback]
root          44       2  0 08:11 ?        00:00:02   [kcompactd0]
root          45       2  0 08:11 ?        00:00:00   [ksmd]
root          46       2  0 08:11 ?        00:00:00   [khugepaged]
root          47       2  0 08:11 ?        00:00:00   [kworker/R-kblockd]
root          48       2  0 08:11 ?        00:00:00   [kworker/R-blkcg_punt_bio]
root          49       2  0 08:11 ?        00:00:00   [kworker/R-kintegrityd]
root          51       2  0 08:11 ?        00:00:00   [irq/9-acpi]
root          52       2  0 08:11 ?        00:00:00   [kworker/R-tpm_dev_wq]
root          53       2  0 08:11 ?        00:00:00   [kworker/R-ata_sff]
root          54       2  0 08:11 ?        00:00:00   [kworker/R-md_bitmap]
root          55       2  0 08:11 ?        00:00:00   [kworker/R-md_llbitmap_io]
root          56       2  0 08:11 ?        00:00:00   [kworker/R-md_llbitmap_unplug]
root          57       2  0 08:11 ?        00:00:00   [kworker/R-edac-poller]
root          58       2  0 08:11 ?        00:00:00   [kworker/R-devfreq_wq]
root          59       2  0 08:11 ?        00:00:00   [watchdogd]
root          60       2  0 08:11 ?        00:00:00   [kworker/R-quota_events_unbound]
root          62       2  0 08:11 ?        00:00:40   [kswapd0]
root          63       2  0 08:11 ?        00:00:00   [ecryptfs-kthread]
root          64       2  0 08:11 ?        00:00:00   [kworker/R-kthrotld]
